secid,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-31,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-29,2018-04-30,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29,2019-12-31,2020-01-31,2020-02-28,2020-03-31,2020-04-30,2020-05-29,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-30,2020-11-30
0,0.0032802145860167196,0.003225673882596667,0.0039881951381244354,0.0033026054289562777,0.003352701532790884,0.003148661889953221,0.0031645585933522758,0.0032676702322577736,0.0030011079739771505,0.003734998253964974,0.003363301947098841,0.003291223178011637,-0.004415209372863351,-0.004079186497358252,-0.003398475041114823,-0.003171789509558425,-0.00187327363096352,-0.000844105172256294,-0.0004896491532925625,0.0003828416895566285,0.0015649328641980994,0.004790056649527515,0.00521888045179816,0.004850890381640764,0.004810356935017859,0.0038145768367686423,0.0027274481620284284,0.0021326125587594028,0.0017833987940827573,0.0016158131305025805,0.0018285280697852978,0.0014339453342476147,0.0013849392711142597,0.00012980851034346668,1.8273687773148644e-05,8.782986348372522e-06,-0.0004243276417974671,-0.00032321312853799805,0.00032692063729884246,-0.0001022127962203122,0.00048544174344789957,-0.00021048487928503097,-0.00018605289866610895,0.0002578867075043451,0.0003740079449885201,0.0009738774041070626,0.0014173084428351413,0.0012528847799541684,0.0013566308532158415,0.0013354102887199362,0.0008127468493864357,0.0009071459295163884,0.0010899561424055847,0.001066125936623314,0.0005277969410486272,0.0008931805042320325,0.0007314627470960682,0.0008424464601972202,0.0006418854001682215
1,0.00025518466136891557,-0.001006167665420703,-0.0014560757219680399,-0.0014677538281286631,-0.0012560003222130956,-0.0015901939473394941,-0.001870938173443705,-0.0004749820398928759,-0.0012454654160802998,-0.0004396229593542975,4.734418533478468e-05,-0.0002968822002891404,0.003980992646454355,-1.134805536005022e-05,0.004102741872801358,-0.00031226338086712166,0.003034365974972266,0.003354711153217177,-0.0005261481038435824,-0.0005579123907542609,0.0026360563946505227,-0.0014599980987471772,-0.002957523621725855,-0.0015544748364793733,-0.0016635087096298358,-0.0012367162420307272,-0.001249923352140872,-0.001542050747038935,-0.0016837254697720646,-0.0010298145027693474,-0.00032724103221938057,-0.0012319048378624379,-0.0005017290134576707,-0.0010832333428111398,-0.0010639818383572958,-0.0009596338032089344,-0.001701714936769373,-0.0007741113750963231,-0.001830746805229717,-0.0019101822742209076,-0.0017183893076104745,-0.0013635386938033196,-0.0011760222997643942,-0.0013957612769375002,-0.0012997548707182824,-0.0013375982034533767,-0.0014728268131426008,-0.0005411844908541042,-0.0015945633060844458,-0.0019854443718327792,-0.001753281884653319,-0.0017421607235671183,-0.0008919328105011062,-0.0016499219047748283,-0.0017077363380379488,,,,
2,0.00045111354758908015,0.0011262013548685942,0.0011701674542361055,0.0017083661851151817,0.0016678224310374776,0.0015976679638805519,0.0012874110780343173,0.0013485666736307881,0.001386043949380977,0.0011911515365570177,0.000102827286015376,0.00027321524972132055,0.00140404588578731,0.00038165570280125746,0.0014942094702536078,0.0010038934308739533,0.003163112992516005,0.0023772839136041645,0.002163174868871296,0.00230385478882944,0.0033557221389095625,0.003367973979363469,0.0020402645643543536,0.0016746733461547006,0.0019321256974984637,0.0016109293163986192,0.0006988535916672739,0.0008367774244753914,-0.00033472500106354624,-0.0006551086491239638,-0.0007504222600882118,-0.0013242596553407423,-0.0009343055872305883,-0.0016430765098151823,-0.002179987805139857,-0.002229735337056441,-0.0024923937591884923,-0.0019154751485928776,-0.0021269365598245576,-0.002160512104553453,-0.0017971801214452321,-0.0013186389319910596,-0.001303833573850425,-0.001186557020728474,-0.0014188052783467105,-0.0009197392227021273,-0.0008556896229157835,-0.0005365748486979442,-0.000868974372687111,-0.0009571199861255777,-0.0015549240123604036,-0.0012692231654353127,-0.0010708691078024492,-0.0008866128604432603,-0.0007866550709830696,-0.0005569141755104877,-0.0007261894721093425,-0.0007892292203805255,-0.0008423835197823768
3,-0.008350104079432897,-0.007890205187780686,-0.0030025134493136796,-0.005296565013457007,-0.0037790677838272437,-0.0028943697179239134,-0.0024341426702783496,-0.005436321371984138,-0.0026415297691232127,-0.0033779013358248362,-0.00594868895816905,-0.004761967403119681,0.0038568504931469987,0.004560025259252597,0.0014752754038502764,4.1193944008442166e-05,0.00012794262549372523,-0.00257655179855781,-0.0016831040443385447,-0.003142941333768434,-0.0015737793291835769,-0.0006423760738219449,-0.0011462879486168111,-0.0011741329083818895,-0.0007714180572196654,-0.001530590367886374,-0.000995258680054635,-0.0008471855615300358,0.0004562277706273585,0.0007669883489869456,0.0003655944664108528,0.00147413357570262,0.0008541559606249628,0.00038838357015960314,0.00013324050505519446,-0.0005427693410440373,-0.0009589990828790518,0.0012718885270459068,0.0006771086319026587,0.00012937318116414855,-0.0016721055037579884,-0.0017600923703136482,-0.0017198169235657524,-0.0015461129541993026,-0.001268572481183099,-0.0008484933767524978,-0.0005797978185750975,-0.0004292447065129233,-0.000791989616937372,-0.0019239568285517293,-0.0018117545728162862,-0.001122814276408256,-0.00038618052711109763,0.00034655479771391245,0.0002076673552312797,-0.0011447301900113934,-0.001341093811194856,-0.0013145617826606593,-0.0008981646847643153
4,-0.0005270439203149257,-0.00011961391557115259,-0.0007036128314074824,0.00046348271984531327,0.0006032895742074136,0.0005837154471375209,-8.193269324510932e-05,0.00028364911748155055,0.00032688316507376876,-0.0007740406739044664,0.000881919419065954,0.0011016303246254458,0.0014629295273622814,0.0004649377769463666,0.0006040556940637265,0.0014790444353873138,0.0027258128327292274,0.0022443062569850788,0.0036147447978509798,0.0036500608203756295,0.003497686828445463,0.002770641670460754,0.00116226398496504,0.0009381358081853865,0.000896890874242111,0.0008691553988199087,0.0010225348996894318,0.0008200492166589042,0.0010406026368040531,0.0008663805749045882,0.0007917091456687025,0.0006464084571196836,0.0008397693484821925,0.00113430012237556,0.00038185755304340197,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0012542790514429008,0.002860175685310037,0.00032591145022680285,0.003905767929833001,0.0024503343119491898,0.002104051718317651,0.0008681987164008788,0.000508409135787013,0.00035034762034418096,-0.0005133768161987668,-0.00031961932006020343,-0.000153464429524715,0.003982410387336096,0.005057806885832909,0.005144469904035741,0.0065588989599788955,0.0060305997691349,0.004897923977797677,0.003729261491849092,0.006346415878161927,0.0023976759512192997,0.0009904830319834377,1.5437281468389027e-05,-0.0007077228759228028,-0.0001527106120061529,0.0004869608118063562,0.0008947143391348789,0.0003168308669133278,0.000534343143443165,-6.80093485367631e-06,-1.4299699353353459e-05,-0.00022228190569824018,5.8628220783748965e-05,-0.000608608311672795,-0.0012146107847866873,-0.001699237805273277,-0.0008516139749969673,-0.0016386777617125022,-0.0023564507848153164,-0.002428408581489999,-0.0030544660822872786,-0.0024860630023468325,-0.001842152467823394,-0.0007682183426247574,-0.00133470277399795,-0.0013803225470767851,-0.002468773991712607,-0.0012890498038060558,-0.0018821550954147529,-0.0018125246486833276,-0.002708340681898687,-0.0026994888264926585,-0.0014468501952485332,-0.0016869653841519998,-0.0018931947531864073,-0.002311203259097064,-0.00234654507012994,-0.0021708622556223193,-0.0017256832953248663
6,0.00023388411040899758,0.00043173736211673527,,,0.0004730941759343335,,,,,,0.0008932046081732331,,0.001859458209718594,0.003012763745117759,,,,,,,,,-0.0006965236462326254,,,-0.0005938276347442464,,,-0.0005576262001573,-0.0007076739644075277,-0.0007075922720824799,,,,0.003053375341639144,-0.0005831709405705401,-0.0004934386307082928,0.0025933507469970535,,,,0.0002612279786474709,,-0.0003532075453702014,-0.00033066151891008525,0.00010581241167992357,0.00031055801267006894,8.472492866036501e-05,0.0004641692214005265,0.00027392843738983046,0.00032460289199273316,0.0004749400133922488,0.0004017408206723285,,0.0006501047196489041,0.0025160265120033483,0.002836718473438001,0.0023099237281432364,0.0025183605202391737
8,0.0017572490340554503,0.0012874583411036403,-0.0012316518605826072,0.0007391888188502,0.0006319412329895771,0.0006069939509370656,-2.9114774464943768e-05,0.001625038696380032,0.000644320348753055,-0.000624263444479328,0.0019315538094455415,0.0015568896098213153,0.0015952539648267428,0.0027831892626361816,0.0004540904596253368,-0.0015506156838382195,-0.0030041738991257207,-0.0030175138173477484,-0.0027942012102745,-0.0036294859901876537,-0.003024070736264018,-0.0022288575648103845,-0.003314962815971721,-0.002254790662784557,-0.0005526095963858964,-0.0003448873416735495,-0.00038994707668872224,-0.00023599835054796504,0.0014163946081591657,0.0011757212222702194,0.0016225576289810879,0.0032459321799376308,0.0027643391977796882,0.002489288034592953,0.002260870654887141,0.00017235461231332905,0.0010803412468709979,0.00013895487203282719,-5.9728374397218065e-06,0.0013682367106108827,0.001319666920498326,0.002094768478008974,0.0032622155170028318,0.0018470649631477335,0.0018645325252367667,0.0024872537298930375,0.0011457787960935512,0.0016437549688097213,0.0009409804781914433,-0.00012854812068608594,0.0022798245924200294,0.0028671649465998256,-6.0198466211448714e-05,0.000986585641148402,0.0007298505752815716,0.0018900494316763299,0.0025299108560784844,0.002650466671690199,0.001849250874021481
9,-0.0010068208126380106,-0.00105722008596877,-0.0009098020478761185,-0.0015101819563740069,-0.0013997310497491804,-0.000980087165861488,-0.000545198025606045,-0.0007974924597709767,-0.0006531083969781683,-0.0005529763057560235,-0.0013332290199825768,-0.0012784967704520562,-0.0006545709789204878,-0.001354615776717331,0.0002737975813650571,0.00026368589032464706,0.0008480192560287894,-0.0003105087532449711,-0.00032402006727182483,0.0012390207424200753,0.0014144708961779302,0.0013322404747556332,0.0011171354702338766,0.000552028930165708,-0.0013569950247418964,-0.0009724148300967046,-0.0019592529669714112,-0.0015307436084553206,-0.0022649491207807466,-0.0019137518193392065,-0.001795303295683827,-0.0020393781681974275,-0.002094935805584408,-0.001590913936366114,-0.0010909790128358291,-0.0009689749802794305,-0.0007253210338525176,-0.0006915642728065966,0.0001053153886927763,0.00011426732336104131,0.00035120668638648526,-0.00025258752819033725,-0.0006353806303637163,-0.0008464990489447399,-0.0010401508043134224,-0.0018907200185109422,-0.0017666137840571868,-0.0015031923763966363,-0.0015729304578073373,-0.001194905759117481,-0.002617169971472999,-0.002950017800907685,-0.0013566182080134825,-0.0015436934844803567,-0.001448661034768694,-0.002223794852556884,-0.00217205473743704,-0.0019030362672534725,-0.0018981680044263447
10,-0.0006880911988917767,-0.0004312335372595037,-0.0006447944583772717,-0.00027332414547355283,6.228987155907628e-05,0.00017997658218677683,0.00011841628556139912,0.000516446844632343,0.00048850954595058,0.00011142561146627831,0.0003131766579213713,0.000356920527216908,0.001559209262528245,0.00046820308988403076,0.0005795549476001027,0.0005480765447078598,8.67588207508398e-05,-0.0002513438980669995,0.0006617501579889389,-0.00033793062501624835,0.00028718858230951817,0.0007421374096727638,0.0007460018904281606,0.0006207979354524261,0.0009042281446145932,-0.0001529425685044199,-0.0001462734386670898,3.929157289407787e-05,-0.0006416932993665602,-0.00010969524513109156,-0.00042426903821660687,-0.0002673086325072222,-0.0003953979414632853,-0.0011966011490410447,-0.002178418593610857,-0.0019826868472338707,-0.0015094883421822082,-0.001537978312302085,-0.0015960460208603107,-0.00168561934573182,-0.0014233866144783174,-0.0013267918726391817,-0.0016550311808592305,-0.0009871282409597772,-0.0008538344895152114,-0.0007710988793612421,-0.0007962082920839074,-0.00031216541660264414,-0.0003323523197053924,6.850677890757824e-05,-0.00022425257492310186,-0.0002574867461246629,-7.876903811845978e-05,7.358604673472382e-05,0.00039566344414145596,-0.0001532029366133011,-0.00020655768181779272,1.398768103369739e-07,-0.00029477025146560563
